area,C_fric_in,C_fric_out,JxB,p_k,p_k_in,p_k_out,p_m,p_s,p_s_in,p_s_out,p_t,p_t_in,p_t_out,Q_in,Q_out,Umag_in,Umag_out
0.00019999999105930338,1.8423730609625217e-11,-489.75321713937734,5.629286539866561,-33058.350675664624,8.288302560538648e-13,-22.038900450442252,28146.43395757644,-22.03890045044308,1.243245384080797e-09,-33058.35067566338,-33058.33131191369,67.48065364428345,-32990.8506582694,1499.7850921191023,1500.0002603216171,0.29995700501469696,0.3000000386532762
0.00019999999105930338,-7.058007945887444e-09,91.58047016572708,-5.273121136957043,33655.843214214925,-1.7216932342102838e-09,22.43722880775492,-26365.606863419674,22.437228809476615,-2.582539851315426e-06,33655.84321163238,33657.441348288085,365.90208638014235,34023.343434668226,3492.3827667123396,3500.001218537543,0.6984765221181332,0.7000002124150596
0.00019999999105930338,-0.0032983573564064044,32.79199652980167,-4.846752089701272,24596.612742369693,-0.0016476259049904294,16.39609420234147,-24233.761531839908,16.39774182824646,-2.4714388574856443,24594.141303512206,24597.32328833385,746.8224036321296,25344.14569196598,4997.6458107183125,5000.01485167593,0.9995291174612275,1.0000029256315701
0.00019999999105930338,0.09585862344310636,95.42518259243451,-3.721807807952921,103047.8935032665,0.06899509821508353,68.76759076705942,-18609.039871653506,68.69859566884433,103.49264732262529,103151.38615058913,103049.22122614982,1183.1310106259523,104232.35223677577,5998.995637689484,6002.683241219551,1.199799073902697,1.2005365945757405
0.00019999999105930338,-489.75321713937734,1.8423730609625217e-11,5.629286539866561,33058.350675664624,-22.038900450442252,8.288302560538648e-13,28146.43395757644,22.03890045044308,-33058.35067566338,1.243245384080797e-09,33058.33131191369,-32990.8506582694,67.48065364428345,1500.0002603216171,1499.7850921191023,0.3000000386532762,0.29995700501469696
0.00019999999105930338,91.58047016572708,-7.058007945887444e-09,-5.273121136957043,-33655.843214214925,22.43722880775492,-1.7216932342102838e-09,-26365.606863419674,-22.437228809476615,33655.84321163238,-2.582539851315426e-06,-33657.441348288085,34023.343434668226,365.90208638014235,3500.001218537543,3492.3827667123396,0.7000002124150596,0.6984765221181332
0.00019999999105930338,32.79199652980167,-0.0032983573564064044,-4.846752089701272,-24596.612742369693,16.39609420234147,-0.0016476259049904294,-24233.761531839908,-16.39774182824646,24594.141303512206,-2.4714388574856443,-24597.32328833385,25344.14569196598,746.8224036321296,5000.01485167593,4997.6458107183125,1.0000029256315701,0.9995291174612275
0.00019999999105930338,95.42518259243451,0.09585862344310636,-3.721807807952921,-103047.8935032665,68.76759076705942,0.06899509821508353,-18609.039871653506,-68.69859566884433,103151.38615058913,103.49264732262529,-103049.22122614982,104232.35223677577,1183.1310106259523,6002.683241219551,5998.995637689484,1.2005365945757405,1.199799073902697
0.00019999999105930338,-489.75321713937734,1.8423730609625217e-11,5.629286539866561,22.03890045044308,-22.038900450442252,8.288302560538648e-13,28146.43395757644,33058.350675664624,-33058.35067566338,1.243245384080797e-09,33058.33131191369,-32990.8506582694,67.48065364428345,1500.0002603216171,1499.7850921191023,0.3000000386532762,0.29995700501469696
0.00019999999105930338,91.58047016572708,-7.058007945887444e-09,-5.273121136957043,-22.437228809476615,22.43722880775492,-1.7216932342102838e-09,-26365.606863419674,-33655.843214214925,33655.84321163238,-2.582539851315426e-06,-33657.441348288085,34023.343434668226,365.90208638014235,3500.001218537543,3492.3827667123396,0.7000002124150596,0.6984765221181332
0.00019999999105930338,32.79199652980167,-0.0032983573564064044,-4.846752089701272,-16.39774182824646,16.39609420234147,-0.0016476259049904294,-24233.761531839908,-24596.612742369693,24594.141303512206,-2.4714388574856443,-24597.32328833385,25344.14569196598,746.8224036321296,5000.01485167593,4997.6458107183125,1.0000029256315701,0.9995291174612275
0.00019999999105930338,95.42518259243451,0.09585862344310636,-3.721807807952921,-68.69859566884433,68.76759076705942,0.06899509821508353,-18609.039871653506,-103047.8935032665,103151.38615058913,103.49264732262529,-103049.22122614982,104232.35223677577,1183.1310106259523,6002.683241219551,5998.995637689484,1.2005365945757405,1.199799073902697
0.00019999999105930338,-489.75321713937734,1.8423730609625217e-11,5.629286539866561,-22.03890045044308,-22.038900450442252,8.288302560538648e-13,28146.43395757644,-33058.350675664624,-33058.35067566338,1.243245384080797e-09,-33058.33131191369,-32990.8506582694,67.48065364428345,1500.0002603216171,1499.7850921191023,0.3000000386532762,0.29995700501469696
0.00019999999105930338,91.58047016572708,-7.058007945887444e-09,-5.273121136957043,22.437228809476615,22.43722880775492,-1.7216932342102838e-09,-26365.606863419674,33655.843214214925,33655.84321163238,-2.582539851315426e-06,33657.441348288085,34023.343434668226,365.90208638014235,3500.001218537543,3492.3827667123396,0.7000002124150596,0.6984765221181332
0.00019999999105930338,32.79199652980167,-0.0032983573564064044,-4.846752089701272,16.39774182824646,16.39609420234147,-0.0016476259049904294,-24233.761531839908,24596.612742369693,24594.141303512206,-2.4714388574856443,24597.32328833385,25344.14569196598,746.8224036321296,5000.01485167593,4997.6458107183125,1.0000029256315701,0.9995291174612275
0.00019999999105930338,95.42518259243451,0.09585862344310636,-3.721807807952921,68.69859566884433,68.76759076705942,0.06899509821508353,-18609.039871653506,103047.8935032665,103151.38615058913,103.49264732262529,103049.22122614982,104232.35223677577,1183.1310106259523,6002.683241219551,5998.995637689484,1.2005365945757405,1.199799073902697








0.00019999999105930338,-489.75321713937734,1.8423730609625217e-11,5.629286539866561,-22.03890045044308,-22.038900450442252,8.288302560538648e-13,28146.43395757644,-33058.350675664624,-33058.35067566338,1.243245384080797e-09,-33058.33131191369,-32990.8506582694,67.48065364428345,1500.0002603216171,1499.7850921191023,0.3000000386532762,0.29995700501469696
0.00019999999105930338,91.58047016572708,-7.058007945887444e-09,-5.273121136957043,22.437228809476615,22.43722880775492,-1.7216932342102838e-09,-26365.606863419674,33655.843214214925,33655.84321163238,-2.582539851315426e-06,33657.441348288085,34023.343434668226,365.90208638014235,3500.001218537543,3492.3827667123396,0.7000002124150596,0.6984765221181332
0.00019999999105930338,32.79199652980167,-0.0032983573564064044,-4.846752089701272,16.39774182824646,16.39609420234147,-0.0016476259049904294,-24233.761531839908,24596.612742369693,24594.141303512206,-2.4714388574856443,24597.32328833385,25344.14569196598,746.8224036321296,5000.01485167593,4997.6458107183125,1.0000029256315701,0.9995291174612275
0.00019999999105930338,95.42518259243451,0.09585862344310636,-3.721807807952921,68.69859566884433,68.76759076705942,0.06899509821508353,-18609.039871653506,103047.8935032665,103151.38615058913,103.49264732262529,103049.22122614982,104232.35223677577,1183.1310106259523,6002.683241219551,5998.995637689484,1.2005365945757405,1.199799073902697
